Random Forest (0),Logistic Regression (0),Naive Bayes (0),Selected,v1,v2,Logistic Regression,Tree,Naive Bayes,Neural Network,SVM,AdaBoost,Random Forest,Logistic Regression (1),Tree (1),Tree (0),Naive Bayes (1),Neural Network (1),Neural Network (0),SVM (1),SVM (0),AdaBoost (1),AdaBoost (0),Random Forest (1),Fold,Selected (1),Selected (2)
continuous,continuous,continuous,No Yes,1 0,string,1 0,1 0,1 0,1 0,1 0,1 0,1 0,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,1 2 3 4 5 6 7 8 9 10,No Yes,No Yes
,,,,class,meta title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
0.0235904761904762,0.007092625499532026,1.952361741561153e-06,No,1,U dun say so early hor... U c already then say...,1,1,1,1,1,1,1,0.992907374500468,0.9354768153980753,0.06452318460192476,0.9999980476382584,0.9999980246561693,1.975343830775231e-06,0.6164857545419762,0.3835142454580239,0.9999999999999998,2.220446049250318e-16,0.976409523809524,1,No,No
0.03589365079365079,0.0028857467530670517,6.654869095949719e-05,No,1,I HAVE A DATE ON SUNDAY WITH WILL!!,1,1,1,1,1,1,1,0.9971142532469329,0.9354768153980753,0.06452318460192476,0.9999334513090404,0.942306317985392,0.05769368201460797,0.6954309182006202,0.30456908179937975,0.9999999999999998,2.220446049250318e-16,0.9641063492063494,1,No,No
0.0,0.0010905760096963815,2.300159470509322e-06,No,1,Anything lor... U decide...,1,1,1,1,1,1,1,0.9989094239903036,0.9354768153980753,0.06452318460192476,0.9999976998405294,0.9995605205178697,0.0004394794821302888,0.7004930451135665,0.29950695488643386,0.9999999999999998,2.220446049250318e-16,1.0,1,No,No
0.0006666666666666666,0.0015521103494173945,2.0241316315559003e-05,No,1,Tell where you reached,1,1,1,1,1,1,1,0.9984478896505826,0.9354768153980753,0.06452318460192476,0.9999797586836844,0.9926774638924197,0.007322536107580292,0.6922997802133164,0.3077002197866834,0.9999999999999998,2.220446049250318e-16,0.9993333333333334,1,No,No
0.04078333333333333,0.008184086123968858,3.981752656930402e-06,No,1,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,1,1,1,1,0,1,1,0.9918159138760312,0.9354768153980753,0.06452318460192476,0.9999960182473432,0.9999953642177659,4.635782234069435e-06,0.1145803949396261,0.885419605060374,0.9999999999999998,2.220446049250318e-16,0.9592166666666667,1,No,No
0.029515873015873016,0.008027453566564641,2.1091998170728014e-05,No,0,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",1,1,1,1,0,1,1,0.9919725464334354,0.9354768153980753,0.06452318460192476,0.9999789080018293,0.9997653486218434,0.00023465137815659683,0.10658202405558789,0.8934179759444121,0.9999999999999998,2.220446049250318e-16,0.9704841269841271,1,No,No
0.0003333333333333333,0.0006067112193461349,1.529142485570099e-08,No,1,Ok i am on the way to home hi hi,1,1,1,1,1,1,1,0.9993932887806538,0.9354768153980753,0.06452318460192476,0.9999999847085751,0.999996967655939,3.032344060927808e-06,0.8072838312602192,0.19271616873978092,0.9999999999999998,2.220446049250318e-16,0.9996666666666667,1,No,No
0.026754761904761903,0.007944145325964498,6.734519708601647e-05,No,1,Please don't text me anymore. I have nothing else to say.,1,1,1,1,1,1,1,0.9920558546740355,0.9354768153980753,0.06452318460192476,0.999932654802914,0.9999922666431891,7.733356810957266e-06,0.5099336865141134,0.4900663134858866,0.9999999999999998,2.220446049250318e-16,0.973245238095238,1,No,No
